complaint_type,primary_agency,total_requests,closed_requests,open_requests,avg_closure_days,median_closure_days,sla_miss_rate,aged_open_30d_plus
Wood Pile Remaining,DPR,583,341,242,5.1,3.0,0.4452,152
Sanitation Worker or Vehicle Complaint,DSNY,838,802,36,4.1,3.0,0.0446,22
Boilers,DOB,721,721,0,23.1,17.0,0.5146,0
Unsanitary Animal Facility,DOHMH,63,6,57,5.0,5.0,0.9048,55
Drinking Water,DOHMH,127,64,63,6.3,6.0,0.4917,52
Vendor Enforcement,DSNY,7467,7467,0,0.0,0.0,0.0,0
Abandoned Bike,DSNY,765,748,17,3.5,2.0,0.0265,4
Drug Activity,NYPD,2307,2307,0,0.1,0.0,0.0,0
Poison Ivy,DOHMH,88,34,54,35.0,30.0,0.9474,28
Public Toilet,DOT,20,19,1,4.4,2.0,0.0526,0
Recycling Basket Complaint,DSNY,31,30,1,2.6,2.0,0.0323,1
Highway Sign - Dangling,DOT,2,2,0,10.0,10.0,0.5,0
Dirty Condition,DSNY,19300,17361,1939,1.5,1.0,0.1058,1705
Damaged Tree,DPR,18375,9801,8574,5.0,2.0,0.4887,6375
Illegal Animal Kept as Pet,DOHMH,539,91,448,7.4,7.0,0.8397,421
Uprooted Stump,DPR,281,40,241,5.0,3.0,0.8635,204
Hazardous Materials,DEP,699,526,173,1.5,0.0,0.2159,89
Unsanitary Pigeon Condition,DOHMH,553,460,93,9.6,7.0,0.3127,36
Urinating in Public,NYPD,490,490,0,0.1,0.0,0.0,0
Scaffold Safety,DOB,64,64,0,1.0,1.0,0.0,0
Non-Residential Heat,DOHMH,54,39,15,59.2,60.0,1.0,15
Radioactive Material,DOHMH,3,1,2,1.0,1.0,0.6667,2
DEP Sidewalk Condition,DOT,3,3,0,2.7,3.0,0.0,0
GENERAL,HPD,10988,8587,2401,14.4,9.0,0.2332,1242
Animal in a Park,DPR,2094,1936,158,1.2,0.0,0.0809,110
Animal Facility - No Permit,DOHMH,64,10,54,11.7,10.0,0.871,49
ELECTRIC,HPD,8576,7141,1435,11.1,6.0,0.1817,813
Sidewalk Condition,DOT,7304,6132,1172,8.5,7.0,0.0138,288
Institution Disposal Complaint,DSNY,8,8,0,4.3,3.5,0.0,0
Highway Sign - Damaged,DOT,13,11,2,5.6,4.0,0.1538,1
Cranes and Derricks,DOB,22,22,0,0.6,0.0,0.0,0
Overgrown Tree/Branches,DPR,15177,1919,13258,7.2,3.0,0.8854,10256
General Construction/Plumbing,DOB,13097,13097,0,8.4,2.0,0.1399,0
Incorrect Data,DSNY,37,0,37,,,1.0,32
Traffic,NYPD,2005,2005,0,0.1,0.0,0.0,0
Animal-Abuse,NYPD,2885,2885,0,0.2,0.0,0.0,0
Illegal Posting,DSNY,1604,1603,1,3.3,3.0,0.0019,0
Noise - Helicopter,EDC,18998,0,18998,,,1.0,18620
Asbestos,DOHMH,537,507,30,4.2,1.0,0.1136,14
Residential Disposal Complaint,DSNY,3790,3743,47,2.1,1.0,0.0128,19
Unsanitary Animal Pvt Property,DOHMH,923,778,145,9.7,7.0,0.2875,46
Public Payphone Complaint,OTI,10,0,10,,,1.0,8
Noise - Commercial,NYPD,17800,17800,0,0.2,0.0,0.0006,0
Cannabis Retailer,OOS,1192,463,729,41.5,41.0,0.9549,460
Bus Stop Shelter Complaint,DOT,324,303,21,8.1,6.0,0.1561,6
Building/Use,DOB,9764,9764,0,21.3,13.0,0.4908,0
Dead/Dying Tree,DPR,6537,1916,4621,11.0,6.0,0.7682,3461
Harboring Bees/Wasps,DOHMH,628,17,611,2.5,2.0,0.9726,585
Street Sign - Missing,DOT,1114,763,351,6.5,4.0,0.3597,266
Water Conservation,DEP,1722,1687,35,2.4,1.0,0.0327,22
Dead Animal,DSNY,3227,3188,39,2.0,2.0,0.0106,34
Street Sign - Damaged,DOT,1599,1275,324,5.8,4.0,0.2166,223
DSNY Internal,DSNY,3,2,1,1.5,1.5,0.3333,1
OUTSIDE BUILDING,HPD,265,219,46,15.2,9.0,0.4435,24
Non-Emergency Police Matter,NYPD,6437,6437,0,0.1,0.0,0.0,0
Noise - Park,NYPD,2944,2944,0,0.2,0.0,0.0,0
Outdoor Dining,DOT,1299,986,313,8.8,7.0,0.2964,69
Window Guard,DOHMH,6,6,0,1.0,1.0,0.0,0
Building Marshal's Office,DOB,13,13,0,9.4,8.0,0.2308,0
DEP Highway Condition,DOT,1,1,0,3.0,3.0,0.0,0
Green Taxi Complaint,TLC,231,81,150,2.3,2.0,0.6494,150
Found Property,TLC,126,0,126,,,1.0,121
Homeless Person Assistance,DHS,11276,11220,56,0.8,0.0,0.0072,53
Pet Sale,DOHMH,182,37,145,8.6,8.0,0.8315,135
Rodent,DOHMH,7609,6295,1314,9.2,7.0,0.2808,408
Smoking or Vaping,DOHMH,2160,1157,1003,39.7,44.0,0.899,490
Litter Basket Request,DSNY,1165,1151,14,3.1,2.0,0.0113,0
Squeegee,NYPD,3,3,0,0.0,0.0,0.0,0
Illegal Fireworks,NYPD,2313,2313,0,0.3,0.0,0.0,0
Ferry Complaint,DOT,62,57,5,2.5,2.0,0.0345,0
Calorie Labeling,DOHMH,1,0,1,,,,0
Street Light Condition,DOT,12510,6238,6272,10.1,10.0,0.6014,4709
