complaint_type,borough,agency,total_requests,open_requests,sla_miss_rate,aged_share_of_open,priority_score,priority_rank
Noise - Helicopter,Manhattan,EDC,11067,11067,1.0,0.9848,0.9839,1
Noise - Helicopter,Brooklyn,EDC,4039,4039,1.0,0.9681,0.9385,2
Noise - Helicopter,Queens,EDC,3664,3664,1.0,0.9828,0.9335,3
Overgrown Tree/Branches,Brooklyn,DPR,6302,5982,0.9579,0.8298,0.9257,4
Taxi Complaint,Manhattan,TLC,4146,4118,0.9942,0.8791,0.9223,5
Taxi Complaint,Queens,TLC,3371,3354,0.9984,0.9097,0.9114,6
Root/Sewer/Sidewalk Condition,Brooklyn,DPR,3288,3275,0.9975,0.924,0.9101,7
For Hire Vehicle Complaint,Manhattan,TLC,6369,5535,0.8532,0.862,0.9054,8
Overgrown Tree/Branches,Queens,DPR,6418,5889,0.9209,0.7601,0.9034,9
Maintenance or Facility,Queens,DPR,5474,4815,0.8817,0.8515,0.8991,10
For Hire Vehicle Complaint,Brooklyn,TLC,2819,2502,0.8747,0.8777,0.8549,11
Root/Sewer/Sidewalk Condition,Queens,DPR,1958,1939,0.9929,0.8314,0.8536,12
For Hire Vehicle Complaint,Queens,TLC,1795,1720,0.9557,0.9017,0.8524,13
HEAT/HOT WATER,Bronx,HPD,16384,6523,0.3973,0.9913,0.8364,14
Dead/Dying Tree,Queens,DPR,3033,2330,0.8097,0.7923,0.8258,15
Damaged Tree,Brooklyn,DPR,6422,3659,0.5963,0.7759,0.8215,16
Root/Sewer/Sidewalk Condition,Staten Island,DPR,1197,1179,0.9939,0.888,0.8148,17
Street Condition,Queens,DOT,21561,6869,0.3082,0.9374,0.809,18
Street Light Condition,Queens,DOT,3214,1633,0.6992,0.8053,0.8011,19
HEAT/HOT WATER,Manhattan,HPD,11045,3217,0.2901,0.9854,0.7962,20
Damaged Tree,Queens,DPR,8025,3709,0.4853,0.7209,0.7906,21
Street Light Condition,Manhattan,DOT,2442,1524,0.6398,0.8576,0.7773,22
For Hire Vehicle Complaint,Bronx,TLC,794,780,0.9802,0.8885,0.7741,23
Dead/Dying Tree,Brooklyn,DPR,1989,1366,0.7366,0.7613,0.7696,24
Street Light Condition,Bronx,DOT,2482,1145,0.7085,0.7476,0.7678,25
HEAT/HOT WATER,Brooklyn,HPD,11869,1981,0.1655,0.9778,0.7632,26
Construction Lead Dust,Manhattan,DOHMH,624,624,1.0,0.9503,0.7625,27
Water System,Queens,DEP,6149,1157,0.3685,0.8064,0.7515,28
Construction Lead Dust,Brooklyn,DOHMH,594,594,1.0,0.9562,0.7514,29
Food Establishment,Manhattan,DOHMH,1352,825,0.9559,0.5394,0.7411,30
Lot Condition,Brooklyn,DSNY,622,610,0.9796,0.8787,0.7402,31
Taxi Report,Manhattan,TLC,565,565,1.0,0.9381,0.7402,32
Food Establishment,Brooklyn,DOHMH,1216,748,0.9823,0.5428,0.7343,33
Taxi Report,Queens,TLC,495,495,1.0,0.9576,0.7309,34
HEAT/HOT WATER,Queens,HPD,4953,979,0.1967,0.9806,0.7302,35
Dirty Condition,Bronx,DSNY,3733,932,0.2504,0.9571,0.7236,36
Street Light Condition,Brooklyn,DOT,2852,1482,0.5215,0.6883,0.7221,37
Construction Lead Dust,Bronx,DOHMH,472,472,1.0,0.9449,0.7201,38
Lot Condition,Queens,DSNY,500,494,0.9874,0.8887,0.7151,39
Maintenance or Facility,Brooklyn,DPR,3894,1689,0.5473,0.466,0.7122,40
Street Condition,Brooklyn,DOT,10198,1918,0.1551,0.7529,0.7101,41
Water System,Brooklyn,DEP,6722,1025,0.2342,0.7385,0.708,42
Root/Sewer/Sidewalk Condition,Bronx,DPR,497,492,0.9956,0.8191,0.7017,43
Food Establishment,Queens,DOHMH,870,545,0.9831,0.5321,0.6997,44
Sewer,Queens,DEP,4877,805,0.2141,0.805,0.6937,45
Maintenance or Facility,Manhattan,DPR,2708,1348,0.5189,0.569,0.6915,46
Root/Sewer/Sidewalk Condition,Manhattan,DPR,399,395,0.9974,0.9215,0.6891,47
PLUMBING,Bronx,HPD,7276,1366,0.2136,0.6186,0.6861,48
Sewer,Brooklyn,DEP,3368,774,0.2518,0.7842,0.6764,49
Illegal Tree Damage,Brooklyn,DPR,1106,632,0.6651,0.7041,0.6758,50
PLUMBING,Manhattan,HPD,4595,1002,0.2242,0.6737,0.6715,51
Street Condition,Manhattan,DOT,5862,703,0.1174,0.7895,0.6714,52
UNSANITARY CONDITION,Bronx,HPD,10776,1730,0.1694,0.5393,0.6713,53
Damaged Tree,Staten Island,DPR,1681,635,0.3839,0.8189,0.6675,54
Water System,Bronx,DEP,5590,705,0.1625,0.7248,0.6671,55
APPLIANCE,Bronx,HPD,2419,568,0.5256,0.5511,0.6606,56
Construction Lead Dust,Queens,DOHMH,306,306,1.0,0.9641,0.659,57
Encampment,Manhattan,DHS,10153,841,0.1388,0.5684,0.6534,58
UNSANITARY CONDITION,Manhattan,HPD,7315,1233,0.1542,0.5215,0.6513,59
UNSANITARY CONDITION,Brooklyn,HPD,10614,1819,0.1644,0.4453,0.6511,60
PLUMBING,Brooklyn,HPD,5785,873,0.1932,0.5521,0.6472,61
Overgrown Tree/Branches,Bronx,DPR,801,597,0.8034,0.4975,0.643,62
DOOR/WINDOW,Bronx,HPD,4281,724,0.2187,0.5815,0.6426,63
Lot Condition,Bronx,DSNY,291,288,0.9895,0.9306,0.6392,64
GENERAL,Bronx,HPD,3290,662,0.2462,0.5891,0.631,65
Sewer,Bronx,DEP,1162,443,0.41,0.8736,0.631,66
Illegal Tree Damage,Queens,DPR,768,461,0.668,0.6876,0.6286,67
WATER LEAK,Brooklyn,HPD,3283,494,0.3897,0.4636,0.6266,68
FLOORING/STAIRS,Bronx,HPD,2684,455,0.3837,0.5736,0.6245,69
Overgrown Tree/Branches,Staten Island,DPR,1284,518,0.4386,0.7104,0.6241,70
Street Condition,Staten Island,DOT,3117,438,0.1332,0.8402,0.6231,71
